seconds,situations,mirrored,probing
1.38,10000,0,917
1.42,20000,0,3225
1.47,30000,0,4550
1.51,40000,0,6996
1.56,50000,0,10141
1.60,60000,1,15841
1.65,70000,1,22753
1.69,80000,1,38305
1.74,90000,1,41107
1.79,100000,1,44001
1.83,110000,1,46891
1.87,120000,1,49404
1.91,130000,1,53211
1.96,140000,1,57916
2.01,150000,1,64908
2.05,160000,2,67216
2.09,170000,2,72728
2.14,180000,2,78651
2.18,190000,2,90332
2.23,200000,2,93489
2.27,210000,2,96981
2.31,220000,2,101357
2.35,230000,2,106533
2.39,240000,2,116266
2.44,250000,2,130384
2.49,260000,2,142889
2.53,270000,2,155788
2.57,280000,2,179843
2.62,290000,2,195775
2.67,300000,3,205836
2.71,310000,4,219335
2.76,320000,5,246668
2.80,330000,8,253749
2.85,340000,11,260032
2.89,350000,13,266791
2.93,360000,13,273757
2.98,370000,13,288521
3.02,380000,13,301410
3.07,390000,14,318282
3.12,400000,14,342209
3.16,410000,14,357382
3.21,420000,14,381402
3.26,430000,14,407399
3.31,440000,14,423619
3.35,450000,14,430511
3.40,460000,14,441851
3.44,470000,14,462625
3.49,480000,14,468688
3.53,490000,14,475744
3.57,500000,14,485216
3.62,510000,14,494853
3.67,520000,14,511138
3.71,530000,14,532818
3.76,540000,14,592000
3.81,550000,14,627720
3.86,560000,14,706087
3.90,570000,14,718022
3.95,580000,14,733857
3.99,590000,15,743857
4.03,600000,15,749267
4.08,610000,15,755573
4.12,620000,15,765648
4.17,630000,15,782254
4.21,640000,15,793276
4.26,650000,15,804118
4.30,660000,15,831902
4.35,670000,15,843960
4.39,680000,15,863760
4.44,690000,15,885275
4.49,700000,15,906304
4.53,710000,15,922183
4.57,720000,15,939681
4.62,730000,15,968423
4.67,740000,15,1034456
4.72,750000,15,1102018
4.77,760000,15,1134329
4.81,770000,15,1160081
4.86,780000,15,1180871
4.91,790000,15,1196348
4.95,800000,15,1222968
5.00,810000,15,1244387
5.05,820000,15,1290605
5.09,830000,15,1301605
5.13,840000,15,1314860
5.18,850000,15,1332435
5.22,860000,17,1354220
5.27,870000,17,1389447
5.32,880000,17,1409075
5.36,890000,17,1430691
5.41,900000,17,1457826
5.45,910000,17,1485025
5.50,920000,17,1547890
5.55,930000,17,1615804
5.60,940000,17,1666490
5.65,950000,17,1749095
5.70,960000,17,1805173
5.75,970000,17,1831198
5.79,980000,17,1852417
5.84,990000,17,1892602
5.89,1000000,17,1958829
5.93,1010000,18,1970650
5.97,1020000,18,1983575
6.02,1030000,19,1997616
6.07,1040000,22,2035322
6.11,1050000,22,2051721
6.16,1060000,22,2073784
6.21,1070000,22,2119947
6.25,1080000,23,2143297
6.30,1090000,25,2172235
6.35,1100000,31,2190748
6.39,1110000,33,2216344
6.44,1120000,35,2235052
6.49,1130000,36,2278978
6.53,1140000,36,2292728
6.58,1150000,36,2321145
6.63,1160000,36,2352908
6.67,1170000,36,2361892
