seconds,situations,mirrored,probing
1.39,10000,0,917
1.43,20000,0,3225
1.48,30000,0,4550
1.53,40000,0,6996
1.57,50000,0,10141
1.62,60000,1,15841
1.67,70000,1,22753
1.71,80000,1,38305
1.76,90000,1,41107
1.81,100000,1,44001
1.85,110000,1,46891
1.89,120000,1,49404
1.94,130000,1,53211
1.99,140000,1,57916
2.03,150000,1,64908
2.07,160000,2,67216
2.12,170000,2,72728
2.17,180000,2,78651
2.21,190000,2,90332
2.26,200000,2,93489
2.30,210000,2,96981
2.35,220000,2,101357
2.39,230000,2,106533
2.43,240000,2,116266
2.47,250000,2,130384
2.52,260000,2,142889
2.57,270000,2,155788
2.61,280000,2,179843
2.66,290000,2,195775
2.71,300000,3,205836
2.75,310000,4,219335
2.80,320000,5,246668
2.85,330000,8,253749
2.89,340000,11,260032
2.93,350000,13,266791
2.98,360000,13,273757
3.02,370000,13,288521
3.07,380000,13,301410
3.12,390000,14,318282
3.17,400000,14,342209
3.22,410000,14,357382
3.26,420000,14,381402
3.31,430000,14,407399
3.36,440000,14,423619
3.41,450000,14,430511
3.45,460000,14,441851
3.50,470000,14,462625
3.54,480000,14,468688
3.59,490000,14,475744
3.64,500000,14,485216
3.68,510000,14,494853
3.73,520000,14,511138
3.78,530000,14,532818
3.82,540000,14,592000
3.87,550000,14,627720
3.92,560000,14,706087
3.97,570000,14,718022
4.01,580000,14,733857
4.06,590000,15,743857
4.10,600000,15,749267
4.14,610000,15,755573
4.19,620000,15,765648
4.24,630000,15,782254
4.28,640000,15,793276
4.33,650000,15,804118
4.38,660000,15,831902
4.42,670000,15,843960
4.47,680000,15,863760
4.52,690000,15,885275
4.56,700000,15,906304
4.60,710000,15,922183
4.65,720000,15,939681
4.70,730000,15,968423
4.75,740000,15,1034456
4.80,750000,15,1102018
4.85,760000,15,1134329
4.90,770000,15,1160081
4.95,780000,15,1180871
4.99,790000,15,1196348
5.04,800000,15,1222968
5.09,810000,15,1244387
5.14,820000,15,1290605
5.18,830000,15,1301605
5.23,840000,15,1314860
5.28,850000,15,1332435
5.32,860000,17,1354220
5.36,870000,17,1389447
5.41,880000,17,1409075
5.46,890000,17,1430691
5.51,900000,17,1457826
5.56,910000,17,1485025
5.60,920000,17,1547890
5.66,930000,17,1615804
5.70,940000,17,1666490
5.76,950000,17,1749095
5.81,960000,17,1805173
5.86,970000,17,1831198
5.90,980000,17,1852417
5.95,990000,17,1892602
6.00,1000000,17,1958829
6.04,1010000,18,1970650
6.09,1020000,18,1983575
6.14,1030000,19,1997616
6.18,1040000,22,2035322
6.23,1050000,22,2051721
6.28,1060000,22,2073784
6.32,1070000,22,2119947
6.37,1080000,23,2143297
